unidade	hora	degradacao
1	0	0.00
1	250	0.47
1	500	0.93
1	750	2.11
1	1000	2.72
1	1250	3.51
1	1500	4.34
1	1750	4.91
1	2000	5.48
1	2250	5.99
1	2500	6.72
1	2750	7.13
1	3000	8.00
1	3250	8.92
1	3500	9.49
1	3750	9.87
1	4000	10.94
2	0	0.00
2	250	0.71
2	500	1.22
2	750	1.90
2	1000	2.30
2	1250	2.87
2	1500	3.75
2	1750	4.42
2	2000	4.99
2	2250	5.51
2	2500	6.07
2	2750	6.64
2	3000	7.16
2	3250	7.78
2	3500	8.42
2	3750	8.91
2	4000	9.28
3	0	0.00
3	250	0.71
3	500	1.17
3	750	1.73
3	1000	1.99
3	1250	2.53
3	1500	2.97
3	1750	3.30
3	2000	3.94
3	2250	4.16
3	2500	4.45
3	2750	4.89
3	3000	5.27
3	3250	5.69
3	3500	6.02
3	3750	6.45
3	4000	6.88
4	0	0.00
4	250	0.36
4	500	0.62
4	750	1.36
4	1000	1.95
4	1250	2.30
4	1500	2.95
4	1750	3.39
4	2000	3.79
4	2250	4.11
4	2500	4.50
4	2750	4.72
4	3000	4.98
4	3250	5.28
4	3500	5.61
4	3750	5.95
4	4000	6.14
5	0	0.00
5	250	0.27
5	500	0.61
5	750	1.11
5	1000	1.77
5	1250	2.06
5	1500	2.58
5	1750	2.99
5	2000	3.38
5	2250	4.05
5	2500	4.63
5	2750	5.24
5	3000	5.62
5	3250	6.04
5	3500	6.32
5	3750	7.10
5	4000	7.59
6	0	0.00
6	250	0.36
6	500	1.39
6	750	1.95
6	1000	2.86
6	1250	3.46
6	1500	3.81
6	1750	4.53
6	2000	5.35
6	2250	5.92
6	2500	6.71
6	2750	7.70
6	3000	8.61
6	3250	9.15
6	3500	9.95
6	3750	10.49
6	4000	11.01
7	0	0.00
7	250	0.36
7	500	0.92
7	750	1.21
7	1000	1.46
7	1250	1.93
7	1500	2.39
7	1750	2.68
7	2000	2.94
7	2250	3.42
7	2500	4.09
7	2750	4.58
7	3000	4.84
7	3250	5.11
7	3500	5.57
7	3750	6.11
7	4000	7.17
8	0	0.00
8	250	0.46
8	500	1.07
8	750	1.42
8	1000	1.77
8	1250	2.11
8	1500	2.40
8	1750	2.78
8	2000	3.02
8	2250	3.29
8	2500	3.75
8	2750	4.16
8	3000	4.76
8	3250	5.16
8	3500	5.46
8	3750	5.81
8	4000	6.24
9	0	0.00
9	250	0.51
9	500	0.93
9	750	1.57
9	1000	1.96
9	1250	2.59
9	1500	3.29
9	1750	3.61
9	2000	4.11
9	2250	4.60
9	2500	4.91
9	2750	5.34
9	3000	5.84
9	3250	6.40
9	3500	6.84
9	3750	7.20
9	4000	7.88
10	0	0.00
10	250	0.41
10	500	1.49
10	750	2.38
10	1000	3.00
10	1250	3.84
10	1500	4.50
10	1750	5.25
10	2000	6.26
10	2250	7.05
10	2500	7.80
10	2750	8.32
10	3000	8.93
10	3250	9.55
10	3500	10.45
10	3750	11.28
10	4000	12.21
11	0	0.00
11	250	0.44
11	500	1.00
11	750	1.57
11	1000	1.96
11	1250	2.51
11	1500	2.84
11	1750	3.47
11	2000	4.01
11	2250	4.51
11	2500	4.80
11	2750	5.20
11	3000	5.66
11	3250	6.20
11	3500	6.54
11	3750	6.96
11	4000	7.42
12	0	0.00
12	250	0.39
12	500	0.80
12	750	1.35
12	1000	1.74
12	1250	2.98
12	1500	3.59
12	1750	4.03
12	2000	4.44
12	2250	4.79
12	2500	5.22
12	2750	5.48
12	3000	4.96
12	3250	6.23
12	3500	6.99
12	3750	7.37
12	4000	7.88
13	0	0.00
13	250	0.30
13	500	0.74
13	750	1.52
13	1000	1.85
13	1250	2.39
13	1500	2.95
13	1750	3.51
13	2000	3.92
13	2250	5.03
13	2500	5.47
13	2750	5.84
13	3000	6.50
13	3250	6.94
13	3500	7.39
13	3750	7.85
13	4000	8.09
14	0	0.00
14	250	0.44
14	500	0.70
14	750	1.05
14	1000	1.35
14	1250	1.80
14	1500	2.55
14	1750	2.83
14	2000	3.39
14	2250	3.72
14	2500	4.09
14	2750	4.83
14	3000	5.41
14	3250	5.76
14	3500	6.14
14	3750	6.51
14	4000	6.88
15	0	0.00
15	250	0.51
15	500	0.83
15	750	1.29
15	1000	1.52
15	1250	1.91
15	1500	2.27
15	1750	2.78
15	2000	3.42
15	2250	3.78
15	2500	4.11
15	2750	4.38
15	3000	4.63
15	3250	5.38
15	3500	5.84
15	3750	6.16
15	4000	6.62
